record_id,project_id,state_ut,district,sub_district,village,village_lgd_code,project_type,applicable_act,land_required_hectares,parcel_count,land_owner_count,affected_families,displaced_families,objections_count,hearings_count,court_case_count,compensation_assessed_inr,compensation_disbursed_inr,compensation_pending_inr,rr_assessed_inr,rr_disbursed_inr,land_record_digitization_rate,current_stage,estimated_duration_days,delay_risk_score,delayed_flag,data_provenance,synthetic_note
SYN-ACQ-00001,SYN-PROJ-00001,CHHATTISGARH,Sarangarh-Bilaigarh,Sariya,Bijepur (Chintamani Path),435588.0,Power Transmission,Railways Act 1989,47.65,85,167,78,6,33,21,0,220959900,202479800,18480100,15283500,10881400,0.5562,R&R,432,0.2496,0,SYNTHETIC_DEMO,Prototype-only synthetic acquisition record linked to a real Survey of India village boundary; not a government acquisition record.
SYN-ACQ-00002,SYN-PROJ-00002,CHHATTISGARH,Korba,Poundi-Uproda,Lalpur,435970.0,Power Transmission,Other applicable statute,46.27,204,128,24,7,27,11,0,416090700,195445900,220644800,10767100,7827600,0.9713,Award,635,0.3312,0,SYNTHETIC_DEMO,Prototype-only synthetic acquisition record linked to a real Survey of India village boundary; not a government acquisition record.
SYN-ACQ-00003,SYN-PROJ-00003,CHHATTISGARH,Durg,Patan,Darbar Mokhli,442707.0,Railway,National Highways Act 1956,27.6,163,175,40,28,47,39,2,317303100,101687900,215615100,13125400,8869400,0.7153,Completed,865,0.4691,0,SYNTHETIC_DEMO,Prototype-only synthetic acquisition record linked to a real Survey of India village boundary; not a government acquisition record.
SYN-ACQ-00004,SYN-PROJ-00004,CHHATTISGARH,Sakti,Sakti,Arjuni,436986.0,Railway,National Highways Act 1956,5.25,163,68,29,20,22,10,1,45877800,25238000,20639800,7592800,4074000,0.9426,Compensation,737,0.3035,0,SYNTHETIC_DEMO,Prototype-only synthetic acquisition record linked to a real Survey of India village boundary; not a government acquisition record.
SYN-ACQ-00005,SYN-PROJ-00005,CHHATTISGARH,Korba,Katghora,Amarpur,435856.0,Irrigation,Railways Act 1989,46.56,80,175,36,30,52,39,0,426419700,426419700,0,18705600,16580200,0.9269,Objection/Hearing,247,0.0286,0,SYNTHETIC_DEMO,Prototype-only synthetic acquisition record linked to a real Survey of India village boundary; not a government acquisition record.
SYN-ACQ-00006,SYN-PROJ-00006,CHHATTISGARH,Mahasamund,Bagbahra,Thakuripali,446703.0,Railway,Railways Act 1989,28.27,159,102,3,3,23,13,1,307750500,259949700,47800800,2515900,1201500,0.7961,Possession,294,0.0677,0,SYNTHETIC_DEMO,Prototype-only synthetic acquisition record linked to a real Survey of India village boundary; not a government acquisition record.
SYN-ACQ-00007,SYN-PROJ-00007,CHHATTISGARH,Kondagaon,Makdi,Deodongar,448880.0,Industrial Corridor,Other applicable statute,40.34,191,151,25,25,48,30,3,242967600,185782800,57184700,21332500,18138500,0.7237,GIS Verification,545,0.2621,0,SYNTHETIC_DEMO,Prototype-only synthetic acquisition record linked to a real Survey of India village boundary; not a government acquisition record.
SYN-ACQ-00008,SYN-PROJ-00008,CHHATTISGARH,Bilaspur,Masturi,Jairam Nagar,438840.0,Power Transmission,Other applicable statute,11.58,205,158,18,6,39,37,1,149823600,149823600,0,11610800,9995500,0.6392,Completed,509,0.2778,0,SYNTHETIC_DEMO,Prototype-only synthetic acquisition record linked to a real Survey of India village boundary; not a government acquisition record.
SYN-ACQ-00009,SYN-PROJ-00009,CHHATTISGARH,Balodabazar-Bhatapara,Palari,Dhorabhatha,443979.0,Irrigation,Railways Act 1989,13.61,72,149,4,4,45,44,5,162080100,94921800,67158300,1241600,441600,0.6657,Compensation,370,0.1985,0,SYNTHETIC_DEMO,Prototype-only synthetic acquisition record linked to a real Survey of India village boundary; not a government acquisition record.
SYN-ACQ-00010,SYN-PROJ-00010,CHHATTISGARH,Jashpur,Sanna,FOREST,51.0,Power Transmission,RFCTLARR Act 2013,2.71,21,54,20,20,14,11,0,18504000,17077800,1426200,17994700,7510100,0.7735,Objection/Hearing,400,0.1405,0,SYNTHETIC_DEMO,Prototype-only synthetic acquisition record linked to a real Survey of India village boundary; not a government acquisition record.
SYN-ACQ-00011,SYN-PROJ-00011,CHHATTISGARH,Mahasamund,Basna,Kudaribahra Tukda Bhagat,445820.0,Irrigation,RFCTLARR Act 2013,50.06,31,179,53,17,13,11,0,413701500,242983600,170717900,17830000,13621700,0.9731,R&R,796,0.2407,0,SYNTHETIC_DEMO,Prototype-only synthetic acquisition record linked to a real Survey of India village boundary; not a government acquisition record.
SYN-ACQ-00012,SYN-PROJ-00012,CHHATTISGARH,Manendragarh-Chirmiri-Bharatpur (MCB),Khadganva,Chopan,431810.0,National Highway,Other applicable statute,1.83,145,152,43,1,46,44,2,24094600,24094600,0,36125100,25220400,0.896,Completed,274,0.0856,0,SYNTHETIC_DEMO,Prototype-only synthetic acquisition record linked to a real Survey of India village boundary; not a government acquisition record.
SYN-ACQ-00013,SYN-PROJ-00013,CHHATTISGARH,Balod,Gunderdehi,Madiapar,442863.0,Urban Infrastructure,RFCTLARR Act 2013,66.92,210,125,12,12,41,19,1,140216800,67677900,72538800,6217100,1511100,0.6585,Award,500,0.269,0,SYNTHETIC_DEMO,Prototype-only synthetic acquisition record linked to a real Survey of India village boundary; not a government acquisition record.
SYN-ACQ-00014,SYN-PROJ-00014,CHHATTISGARH,Raigarh,Mukdega,Sonajori,434595.0,Urban Infrastructure,RFCTLARR Act 2013,42.51,218,27,13,13,7,3,0,256741200,191230700,65510500,2111500,1937500,0.998,Completed,447,0.1555,0,SYNTHETIC_DEMO,Prototype-only synthetic acquisition record linked to a real Survey of India village boundary; not a government acquisition record.
SYN-ACQ-00015,SYN-PROJ-00015,CHHATTISGARH,Mohla-Manpur-Ambagarh Chouki,Ambagarh Chouki,Tate Kasa,441692.0,Irrigation,RFCTLARR Act 2013,5.71,69,5,2,2,0,0,0,24134400,10618200,13516100,619000,619000,0.6243,Objection/Hearing,505,0.3533,0,SYNTHETIC_DEMO,Prototype-only synthetic acquisition record linked to a real Survey of India village boundary; not a government acquisition record.
SYN-ACQ-00016,SYN-PROJ-00016,CHHATTISGARH,Raipur,Arang,Amsena,444445.0,Power Transmission,Railways Act 1989,28.7,204,117,5,5,34,14,7,95503900,49859000,45644900,920000,345400,0.9451,Possession,529,0.2418,0,SYNTHETIC_DEMO,Prototype-only synthetic acquisition record linked to a real Survey of India village boundary; not a government acquisition record.
SYN-ACQ-00017,SYN-PROJ-00017,CHHATTISGARH,Uttar Bastar Kanker,Aamabeda,Semargaon,448162.0,National Highway,National Highways Act 1956,65.9,37,80,34,16,27,11,2,318731700,200862600,117869100,15548000,14741700,0.6562,Notification,710,0.5564,1,SYNTHETIC_DEMO,Prototype-only synthetic acquisition record linked to a real Survey of India village boundary; not a government acquisition record.
SYN-ACQ-00018,SYN-PROJ-00018,CHHATTISGARH,Dakshin Bastar Dantewada,Gidam,Badepaneda,450173.0,Urban Infrastructure,Other applicable statute,8.98,78,82,1,1,13,6,1,23650500,19043600,4607000,644800,312300,0.8192,Objection/Hearing,398,0.1106,0,SYNTHETIC_DEMO,Prototype-only synthetic acquisition record linked to a real Survey of India village boundary; not a government acquisition record.
SYN-ACQ-00019,SYN-PROJ-00019,CHHATTISGARH,Dhamtari,Dhamtari,Kandel,447059.0,Irrigation,Other applicable statute,32.93,19,53,7,7,14,12,0,107569800,52256600,55313300,5072700,3036400,0.6773,Notification,476,0.341,0,SYNTHETIC_DEMO,Prototype-only synthetic acquisition record linked to a real Survey of India village boundary; not a government acquisition record.
SYN-ACQ-00020,SYN-PROJ-00020,CHHATTISGARH,Surguja,Lundra,Sapda,433350.0,Urban Infrastructure,Railways Act 1989,18.39,148,19,1,1,6,5,0,68189800,65036900,3152800,886700,719400,0.9017,Compensation,485,0.0977,0,SYNTHETIC_DEMO,Prototype-only synthetic acquisition record linked to a real Survey of India village boundary; not a government acquisition record.
SYN-ACQ-00021,SYN-PROJ-00021,CHHATTISGARH,Korba,Barpali,Gitari,436431.0,Urban Infrastructure,National Highways Act 1956,25.57,134,77,6,6,3,1,0,269587700,101358400,168229300,2212700,864600,0.9326,Notification,536,0.2192,0,SYNTHETIC_DEMO,Prototype-only synthetic acquisition record linked to a real Survey of India village boundary; not a government acquisition record.
SYN-ACQ-00022,SYN-PROJ-00022,CHHATTISGARH,Durg,Durg,Bhothli,442627.0,Railway,Railways Act 1989,29.27,120,78,17,17,11,8,1,151829300,115390300,36439000,6168000,3111000,0.8944,Completed,432,0.1736,0,SYNTHETIC_DEMO,Prototype-only synthetic acquisition record linked to a real Survey of India village boundary; not a government acquisition record.
SYN-ACQ-00023,SYN-PROJ-00023,CHHATTISGARH,Bilaspur,Beltara,Baima,438747.0,Irrigation,Other applicable statute,68.41,69,160,66,27,52,35,11,357820400,153135900,204684600,22991700,10923300,0.9579,Award,444,0.231,0,SYNTHETIC_DEMO,Prototype-only synthetic acquisition record linked to a real Survey of India village boundary; not a government acquisition record.
SYN-ACQ-00024,SYN-PROJ-00024,CHHATTISGARH,Sarangarh-Bilaigarh,Sariya,Naughata,435578.0,Urban Infrastructure,National Highways Act 1956,72.3,201,159,67,18,21,10,0,434863800,329553400,105310400,55318900,49907500,0.5959,Possession,220,0.1131,0,SYNTHETIC_DEMO,Prototype-only synthetic acquisition record linked to a real Survey of India village boundary; not a government acquisition record.
SYN-ACQ-00025,SYN-PROJ-00025,CHHATTISGARH,Balrampur-Ramanujganj,Shankargarh,Lalitpur,432441.0,Industrial Corridor,Other applicable statute,2.27,108,35,10,10,9,7,0,28292800,19159100,9133700,4411300,2846500,0.8822,Completed,664,0.3314,0,SYNTHETIC_DEMO,Prototype-only synthetic acquisition record linked to a real Survey of India village boundary; not a government acquisition record.
SYN-ACQ-00026,SYN-PROJ-00026,CHHATTISGARH,Dhamtari,Nagri,Bhiragaon,447263.0,Irrigation,Railways Act 1989,22.12,27,53,27,11,26,20,3,82108300,56513500,25594800,10037700,4191400,0.9043,Compensation,540,0.2901,0,SYNTHETIC_DEMO,Prototype-only synthetic acquisition record linked to a real Survey of India village boundary; not a government acquisition record.
SYN-ACQ-00027,SYN-PROJ-00027,CHHATTISGARH,Balrampur-Ramanujganj,Raghunathnagar,Madna,432112.0,Railway,RFCTLARR Act 2013,7.72,144,102,3,3,3,1,1,78482700,42791000,35691700,2456100,1360100,0.6793,Proposal,357,0.222,0,SYNTHETIC_DEMO,Prototype-only synthetic acquisition record linked to a real Survey of India village boundary; not a government acquisition record.
SYN-ACQ-00028,SYN-PROJ-00028,CHHATTISGARH,Bilaspur,Kota,Changori,438012.0,National Highway,Other applicable statute,56.37,186,66,20,20,21,16,1,156312400,127107700,29204700,11116600,6024400,0.6406,Objection/Hearing,537,0.363,0,SYNTHETIC_DEMO,Prototype-only synthetic acquisition record linked to a real Survey of India village boundary; not a government acquisition record.
SYN-ACQ-00029,SYN-PROJ-00029,CHHATTISGARH,Kabeerdham,Kunda,Bansapur,440036.0,Railway,National Highways Act 1956,42.65,157,64,14,4,7,4,0,313980900,99281800,214699000,2740200,1784000,0.6126,GIS Verification,623,0.3562,0,SYNTHETIC_DEMO,Prototype-only synthetic acquisition record linked to a real Survey of India village boundary; not a government acquisition record.
SYN-ACQ-00030,SYN-PROJ-00030,CHHATTISGARH,Surajpur,Pratappur,Gorgi,432211.0,Urban Infrastructure,RFCTLARR Act 2013,26.51,215,159,18,18,18,8,0,230833400,150930400,79903000,13376100,8091500,0.7938,Compensation,336,0.1672,0,SYNTHETIC_DEMO,Prototype-only synthetic acquisition record linked to a real Survey of India village boundary; not a government acquisition record.
SYN-ACQ-00031,SYN-PROJ-00031,CHHATTISGARH,Bijapur,Usur,Semaldodi,450876.0,National Highway,National Highways Act 1956,42.7,88,20,11,11,3,2,1,116758100,116758100,0,1924800,1098000,0.7834,Objection/Hearing,399,0.176,0,SYNTHETIC_DEMO,Prototype-only synthetic acquisition record linked to a real Survey of India village boundary; not a government acquisition record.
SYN-ACQ-00032,SYN-PROJ-00032,CHHATTISGARH,Janjgir-Champa,Nawagarh,Sendari,436735.0,National Highway,Railways Act 1989,41.16,209,139,63,2,24,10,0,185522400,112737700,72784800,36566200,15821000,0.6455,GIS Verification,490,0.4826,0,SYNTHETIC_DEMO,Prototype-only synthetic acquisition record linked to a real Survey of India village boundary; not a government acquisition record.
SYN-ACQ-00033,SYN-PROJ-00033,CHHATTISGARH,Surajpur,Odgi,Nawdiha Khurd,432659.0,National Highway,National Highways Act 1956,1.56,150,150,29,29,5,3,0,54847300,46706600,8140700,25084600,15396800,0.9369,GIS Verification,344,0.1784,0,SYNTHETIC_DEMO,Prototype-only synthetic acquisition record linked to a real Survey of India village boundary; not a government acquisition record.
SYN-ACQ-00034,SYN-PROJ-00034,CHHATTISGARH,Uttar Bastar Kanker,Bhanupratappur,Janakpur,447536.0,Railway,National Highways Act 1956,12.82,173,83,24,7,21,10,1,45492400,35023500,10468900,4035600,3560000,0.7936,Compensation,536,0.2402,0,SYNTHETIC_DEMO,Prototype-only synthetic acquisition record linked to a real Survey of India village boundary; not a government acquisition record.
SYN-ACQ-00035,SYN-PROJ-00035,CHHATTISGARH,Gaurela-Pendra-Marwahi,Sakola,Kesla,437613.0,Railway,Other applicable statute,69.03,155,174,84,34,3,2,1,494440500,399147800,95292700,60597100,44304500,0.8466,Notification,304,0.1352,0,SYNTHETIC_DEMO,Prototype-only synthetic acquisition record linked to a real Survey of India village boundary; not a government acquisition record.
SYN-ACQ-00036,SYN-PROJ-00036,CHHATTISGARH,Korea,Pondi (Bachra),Govindpur,431793.0,Irrigation,Railways Act 1989,5.67,47,66,8,8,2,1,0,47972400,18805900,29166500,3019800,2253500,0.8325,Compensation,512,0.2605,0,SYNTHETIC_DEMO,Prototype-only synthetic acquisition record linked to a real Survey of India village boundary; not a government acquisition record.
SYN-ACQ-00037,SYN-PROJ-00037,CHHATTISGARH,Jashpur,Duldula,FOREST,51.0,Urban Infrastructure,RFCTLARR Act 2013,29.06,69,177,80,32,25,14,1,234934700,164019700,70915000,33465300,24956200,0.9205,GIS Verification,118,0.1982,0,SYNTHETIC_DEMO,Prototype-only synthetic acquisition record linked to a real Survey of India village boundary; not a government acquisition record.
SYN-ACQ-00038,SYN-PROJ-00038,CHHATTISGARH,Korba,Bhaisma,Labed,436384.0,Railway,Railways Act 1989,47.98,192,33,15,15,7,3,0,337368700,135566600,201802100,12151700,6813200,0.7236,Award,622,0.2408,0,SYNTHETIC_DEMO,Prototype-only synthetic acquisition record linked to a real Survey of India village boundary; not a government acquisition record.
SYN-ACQ-00039,SYN-PROJ-00039,CHHATTISGARH,Mohla-Manpur-Ambagarh Chouki,Ambagarh Chouki,Salhe Kusumkasa,441541.0,Irrigation,National Highways Act 1956,73.81,107,122,20,7,12,10,0,158669100,41624700,117044500,4077800,2917200,0.5886,R&R,654,0.4956,0,SYNTHETIC_DEMO,Prototype-only synthetic acquisition record linked to a real Survey of India village boundary; not a government acquisition record.
SYN-ACQ-00040,SYN-PROJ-00040,CHHATTISGARH,Surajpur,Ramanujnagar,Makarbandha,432867.0,Urban Infrastructure,RFCTLARR Act 2013,25.04,207,54,26,11,9,5,0,103210200,86816300,16393900,18362100,18362100,0.9755,Award,318,0.18,0,SYNTHETIC_DEMO,Prototype-only synthetic acquisition record linked to a real Survey of India village boundary; not a government acquisition record.
SYN-ACQ-00041,SYN-PROJ-00041,CHHATTISGARH,Bilaspur,Pachpedi,Hardi,438895.0,Railway,Other applicable statute,41.08,79,127,60,0,24,11,3,243286200,223633800,19652500,53767300,30048400,0.9209,Completed,163,0.0,0,SYNTHETIC_DEMO,Prototype-only synthetic acquisition record linked to a real Survey of India village boundary; not a government acquisition record.
SYN-ACQ-00042,SYN-PROJ-00042,CHHATTISGARH,Sakti,Malkharoda,Mahuldeep,437311.0,Irrigation,Other applicable statute,72.2,210,53,16,16,6,3,0,342569600,228734900,113834700,9893300,6659400,0.9106,Compensation,384,0.1845,0,SYNTHETIC_DEMO,Prototype-only synthetic acquisition record linked to a real Survey of India village boundary; not a government acquisition record.
SYN-ACQ-00043,SYN-PROJ-00043,CHHATTISGARH,Rajnandgaon,Rajnandgaon,Mangata,440768.0,Irrigation,RFCTLARR Act 2013,6.43,189,97,19,8,3,2,0,79510900,26992100,52518800,11276200,9111300,0.7983,Completed,394,0.2074,0,SYNTHETIC_DEMO,Prototype-only synthetic acquisition record linked to a real Survey of India village boundary; not a government acquisition record.
SYN-ACQ-00044,SYN-PROJ-00044,CHHATTISGARH,Narayanpur,Kohkameta,Toyameta,449996.0,Urban Infrastructure,National Highways Act 1956,15.51,215,146,52,26,46,33,3,122054300,70487200,51567100,9678700,9548000,0.5867,Notification,490,0.2419,0,SYNTHETIC_DEMO,Prototype-only synthetic acquisition record linked to a real Survey of India village boundary; not a government acquisition record.
SYN-ACQ-00045,SYN-PROJ-00045,CHHATTISGARH,Kabeerdham,Bodla,Junwani,439289.0,Power Transmission,Railways Act 1989,18.16,104,99,46,20,21,20,2,70976800,36676600,34300300,35668500,23627000,0.7785,Notification,733,0.4597,0,SYNTHETIC_DEMO,Prototype-only synthetic acquisition record linked to a real Survey of India village boundary; not a government acquisition record.
SYN-ACQ-00046,SYN-PROJ-00046,CHHATTISGARH,Surguja,Sitapur,Raikera,433456.0,Power Transmission,RFCTLARR Act 2013,65.69,97,93,5,5,32,13,4,357297700,246544800,110752900,1714600,1271100,0.9321,Objection/Hearing,582,0.3251,0,SYNTHETIC_DEMO,Prototype-only synthetic acquisition record linked to a real Survey of India village boundary; not a government acquisition record.
SYN-ACQ-00047,SYN-PROJ-00047,CHHATTISGARH,Balod,Arjunda,Dhangaon,442843.0,Industrial Corridor,National Highways Act 1956,32.61,187,86,16,16,26,15,0,305431100,218038200,87392900,12331000,10918000,0.5865,Objection/Hearing,476,0.2393,0,SYNTHETIC_DEMO,Prototype-only synthetic acquisition record linked to a real Survey of India village boundary; not a government acquisition record.
SYN-ACQ-00048,SYN-PROJ-00048,CHHATTISGARH,Bastar,Tokapal,Bade Aarapur,449549.0,Irrigation,Railways Act 1989,20.41,126,29,14,14,10,7,0,184945100,114810300,70134700,10823800,7792200,0.6263,Proposal,489,0.3332,0,SYNTHETIC_DEMO,Prototype-only synthetic acquisition record linked to a real Survey of India village boundary; not a government acquisition record.
SYN-ACQ-00049,SYN-PROJ-00049,CHHATTISGARH,Raigarh,Chhal,Bangarsuta,434501.0,Railway,Other applicable statute,33.51,162,170,81,24,21,11,0,242003300,160985400,81017900,18001300,10952300,0.7007,Award,408,0.3002,0,SYNTHETIC_DEMO,Prototype-only synthetic acquisition record linked to a real Survey of India village boundary; not a government acquisition record.
SYN-ACQ-00050,SYN-PROJ-00050,CHHATTISGARH,Manendragarh-Chirmiri-Bharatpur (MCB),Khadganva,Barampur,431769.0,National Highway,Other applicable statute,6.18,94,11,4,4,1,0,0,36765800,25747000,11018800,933400,621500,0.8474,Scrutiny,538,0.1901,0,SYNTHETIC_DEMO,Prototype-only synthetic acquisition record linked to a real Survey of India village boundary; not a government acquisition record.
SYN-ACQ-00051,SYN-PROJ-00051,CHHATTISGARH,Jashpur,Jashpur,Harra Dipa,433800.0,Irrigation,National Highways Act 1956,70.87,199,147,73,36,11,7,1,235218500,232703500,2515000,13104400,8534800,0.7527,R&R,727,0.3738,0,SYNTHETIC_DEMO,Prototype-only synthetic acquisition record linked to a real Survey of India village boundary; not a government acquisition record.
SYN-ACQ-00052,SYN-PROJ-00052,CHHATTISGARH,Bilaspur,Pachpedi,Pakariya,438874.0,Railway,Other applicable statute,28.73,175,108,41,24,39,16,0,223683900,216991400,6692500,22233200,17018100,0.9529,Completed,243,0.076,0,SYNTHETIC_DEMO,Prototype-only synthetic acquisition record linked to a real Survey of India village boundary; not a government acquisition record.
SYN-ACQ-00053,SYN-PROJ-00053,CHHATTISGARH,Sarangarh-Bilaigarh,Sarangarh,Siladei,435358.0,National Highway,Other applicable statute,67.58,184,105,47,5,15,7,0,577110100,323566500,253543600,39943900,21068100,0.6963,Objection/Hearing,368,0.2931,0,SYNTHETIC_DEMO,Prototype-only synthetic acquisition record linked to a real Survey of India village boundary; not a government acquisition record.
SYN-ACQ-00054,SYN-PROJ-00054,CHHATTISGARH,Bilaspur,Bilaspur,Kachhar,438738.0,Irrigation,RFCTLARR Act 2013,18.57,47,85,12,12,12,10,0,93341100,52964200,40376900,10614700,1736900,0.6405,Compensation,447,0.1919,0,SYNTHETIC_DEMO,Prototype-only synthetic acquisition record linked to a real Survey of India village boundary; not a government acquisition record.
SYN-ACQ-00055,SYN-PROJ-00055,CHHATTISGARH,Surguja,Udaypur,Sayar,433223.0,Power Transmission,RFCTLARR Act 2013,35.8,205,93,12,12,13,12,0,260071000,168132900,91938100,7760000,5776800,0.5966,Award,584,0.3689,0,SYNTHETIC_DEMO,Prototype-only synthetic acquisition record linked to a real Survey of India village boundary; not a government acquisition record.
SYN-ACQ-00056,SYN-PROJ-00056,CHHATTISGARH,Janjgir-Champa,Akaltara,Sonadula,436584.0,National Highway,RFCTLARR Act 2013,71.24,149,84,14,9,1,0,0,223303900,179518800,43785100,11730900,10429000,0.9894,R&R,241,0.0653,0,SYNTHETIC_DEMO,Prototype-only synthetic acquisition record linked to a real Survey of India village boundary; not a government acquisition record.
SYN-ACQ-00057,SYN-PROJ-00057,CHHATTISGARH,Sarangarh-Bilaigarh,Sariya,Adbhar,435629.0,Industrial Corridor,RFCTLARR Act 2013,65.55,140,93,18,18,10,7,0,151779200,133161500,18617700,15023300,10622500,0.7533,Compensation,94,0.1195,0,SYNTHETIC_DEMO,Prototype-only synthetic acquisition record linked to a real Survey of India village boundary; not a government acquisition record.
SYN-ACQ-00058,SYN-PROJ-00058,CHHATTISGARH,Balodabazar-Bhatapara,Bhatapara,Suma,443597.0,Industrial Corridor,RFCTLARR Act 2013,3.99,83,100,7,7,8,4,0,20255900,16525300,3730600,6142100,4317500,0.8232,Completed,436,0.1668,0,SYNTHETIC_DEMO,Prototype-only synthetic acquisition record linked to a real Survey of India village boundary; not a government acquisition record.
SYN-ACQ-00059,SYN-PROJ-00059,CHHATTISGARH,Jashpur,Farsabahar,FOREST,51.0,Irrigation,Railways Act 1989,18.97,149,56,5,5,3,1,0,75935800,68610200,7325500,1775400,612800,0.8357,Compensation,421,0.1442,0,SYNTHETIC_DEMO,Prototype-only synthetic acquisition record linked to a real Survey of India village boundary; not a government acquisition record.
SYN-ACQ-00060,SYN-PROJ-00060,CHHATTISGARH,Uttar Bastar Kanker,Kanker,Matwada(Modi),447877.0,Irrigation,National Highways Act 1956,61.64,192,45,5,5,9,4,1,578268200,472677100,105591200,1850900,1650500,0.6587,Scrutiny,450,0.2198,0,SYNTHETIC_DEMO,Prototype-only synthetic acquisition record linked to a real Survey of India village boundary; not a government acquisition record.
SYN-ACQ-00061,SYN-PROJ-00061,CHHATTISGARH,Mungeli,Lalpur Thana,Tharakpur,437851.0,Irrigation,National Highways Act 1956,69.79,78,67,3,1,2,1,0,164862400,111199500,53662900,959600,587700,0.661,Award,510,0.0709,0,SYNTHETIC_DEMO,Prototype-only synthetic acquisition record linked to a real Survey of India village boundary; not a government acquisition record.
SYN-ACQ-00062,SYN-PROJ-00062,CHHATTISGARH,Balrampur-Ramanujganj,Balrampur,Turridih,432007.0,Industrial Corridor,Railways Act 1989,12.44,11,73,30,26,2,1,0,62948500,53106900,9841600,21662300,17284100,0.7569,Scrutiny,523,0.2994,0,SYNTHETIC_DEMO,Prototype-only synthetic acquisition record linked to a real Survey of India village boundary; not a government acquisition record.
SYN-ACQ-00063,SYN-PROJ-00063,CHHATTISGARH,Manendragarh-Chirmiri-Bharatpur (MCB),Khadganva,FOREST,51.0,Power Transmission,Railways Act 1989,43.35,5,36,17,11,3,1,0,114655200,114046800,608400,8455700,5475800,0.7541,Notification,312,0.1004,0,SYNTHETIC_DEMO,Prototype-only synthetic acquisition record linked to a real Survey of India village boundary; not a government acquisition record.
